Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Payload_Structure,0.011584,-0.00010559,0.11423,0,0,0,4.1675,0.015415,-7.8965E-08,1.9561E-05,0.023083,2.7336E-07,0.035597,0,0,0,0,0,0,package://New_Simscape_Assem/meshes/Payload_Structure.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://New_Simscape_Assem/meshes/Payload_Structure.STL,,Propeller_Part-2;mad-5015-ipe-1;Top_Frame_Part-1;mad-5015-ipe-3;Propeller_Part-1;Propeller_Part-3;mad-5015-ipe-4;Propeller_Part-4;mad-5015-ipe-2;Backbone_Part-2;Hip_Bone_Link_F-1;Hip_Bone_Link_F-2,Global_Coordinate_System,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Hip_Coupling_FR,0.010875,-0.016201,0.00298,0,0,0,0.028158,6.702E-06,2.2014E-12,-1.9864E-07,9.5392E-06,1.9931E-12,1.2481E-05,0,0,0,0,0,0,package://New_Simscape_Assem/meshes/Hip_Coupling_FR.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://New_Simscape_Assem/meshes/Hip_Coupling_FR.STL,,Hip articulation coupling V4-1,Hip_Frontal_FR_Frame,Hip_Frontal_FR_Axis,Hip_Frontal_FR,revolute,-0.16725,0.045232,0.0074557,1.5708,-0.014386,1.5708,Payload_Structure,0,0,-1,0,0,0,0,,,,,,,,
HS_Actuator_FR,0.00311,0.016192,0.034844,0,0,0,0.067844,1.1918E-05,-6.2189E-09,-2.7463E-07,1.7243E-05,2.5876E-09,2.452E-05,0,0,0,0,0,0,package://New_Simscape_Assem/meshes/HS_Actuator_FR.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://New_Simscape_Assem/meshes/HS_Actuator_FR.STL,,HS_Act_Part_F-3,Hip_Sagittal_FR_Frame,Hip_Sagittal_FR_Axis,Hip_Sagittal_FR,revolute,0.028,0,0,-1.5708,-1.5602,-1.5708,Hip_Coupling_FR,0,0,1,0,0,0,0,,,,,,,,
Femur_Bone_Link_FR,0.034748,0.00036808,0,0,0,0,0.0034978,7.1859E-08,-1.4533E-08,-2.1151E-23,1.4436E-06,-1.6544E-24,1.4438E-06,0,0,0,0,0,0,package://New_Simscape_Assem/meshes/Femur_Bone_Link_FR.STL,1,1,1,1,0,0,0,0,0,0,package://New_Simscape_Assem/meshes/Femur_Bone_Link_FR.STL,,Femur Bone Link-3,Femur_HS_Bone_FR_Frame,Axis_Femur_HS_Bone_FR2,Femur_HS_Bone_FR,fixed,0.034467,0.0162,0.049654,0,0,-0.010592,HS_Actuator_FR,0,0,0,,,,,,,,,,,,
Knee_Actuator_FR,0.027651,0.00029746,-0.017407,0,0,0,0.079923,1.4972E-05,-4.8675E-08,2.0342E-07,2.3754E-05,-1.101E-07,3.3937E-05,0,0,0,0,0,0,package://New_Simscape_Assem/meshes/Knee_Actuator_FR.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://New_Simscape_Assem/meshes/Knee_Actuator_FR.STL,,K_Act_Part_F-3,Femur_Knee_Bone_FR_Frame,,Femur_Knee_Bone_FR,fixed,0.069496,0.00073616,0,-0.014387,0,0.010592,Femur_Bone_Link_FR,0,0,0,,,,,,,,,,,,
Tibia_FR,-0.00075906,-0.13541,-0.0036986,0,0,0,0.043808,3.5797E-05,-2.1809E-07,-1.1849E-08,7.4699E-06,-1.3207E-06,4.0682E-05,0,0,0,0,0,0,package://New_Simscape_Assem/meshes/Tibia_FR.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://New_Simscape_Assem/meshes/Tibia_FR.STL,,Tibia_Link-2,Knee_FR_Frame,Knee_FR_Axis,Knee_FR,revolute,0.034123,-0.015484,-0.049882,-3.1272,0,0,Knee_Actuator_FR,0,0,-1,0,0,0,0,,,,,,,,
Foot_FR,-3.1153E-09,0.054555,-6.059E-09,0,0,0,0.06772,4.4724E-05,-5.6173E-12,3.9841E-13,9.3084E-06,-7.9193E-12,4.3329E-05,0,0,0,0,0,0,package://New_Simscape_Assem/meshes/Foot_FR.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://New_Simscape_Assem/meshes/Foot_FR.STL,,Foot_Part-4,Ankle_FR_Frame,Ankle_FR_Axis,Ankle_FR,revolute,-0.0022548,-0.33023,-0.0065344,3.1416,0,1.5035,Tibia_FR,0,0,-1,0,0,0,0,,,,,,,,
Fibula_FR,-0.0013388,-0.18118,-0.00079653,0,0,0,0.027121,3.0139E-05,-2.1289E-07,-1.4006E-09,1.3297E-06,-1.8954E-07,3.0504E-05,0,0,0,0,0,0,package://New_Simscape_Assem/meshes/Fibula_FR.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://New_Simscape_Assem/meshes/Fibula_FR.STL,,Fibula_Link-3,Knee_FourBar_FR_Frame,Knee_FourBar_FR_Axis,Knee_FourBar_FR,revolute,-0.025705,0.0006448,-0.044815,-3.1272,0,0,Knee_Actuator_FR,0,0,1,0,0,0,0,,,,,,,,
Hip_Coupling_FL,-0.017303,0.015071,0.00298,0,0,0,0.028158,6.702E-06,2.2224E-12,1.9864E-07,9.5392E-06,-1.9886E-12,1.2481E-05,0,0,0,0,0,0,package://New_Simscape_Assem/meshes/Hip_Coupling_FL.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://New_Simscape_Assem/meshes/Hip_Coupling_FL.STL,,Hip articulation coupling V4-4,Hip_Frontal_FL_Frame,Hip_Frontal_FL_Axis,Hip_Frontal_FL,revolute,-0.16725,-0.039143,-0.023862,1.5708,0.0069367,1.5708,Payload_Structure,0,0,-1,0,0,0,0,,,,,,,,
HS_Actuator_FL,0.0027269,0.024806,0.043022,0,0,0,0.067844,1.1918E-05,-6.219E-09,-2.7463E-07,1.7243E-05,2.5876E-09,2.452E-05,0,0,0,0,0,0,package://New_Simscape_Assem/meshes/HS_Actuator_FL.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://New_Simscape_Assem/meshes/HS_Actuator_FL.STL,,HS_Act_Part_F-1,Hip_Sagittal_FL_Frame,Hip_Sagittal_FL_Axis,Hip_Sagittal_FL,revolute,-0.02625,-0.0097433,0,1.5708,-1.5623,-1.5708,Hip_Coupling_FL,0.0029667,-0.34796,0.9375,0,0,0,0,,,,,,,,
